;level;room;width;height;size;unique_comb_width;unique_comb_height;unique_comb_coords;filepath
235;LostLevels;lvl_e-00;40;53;(40, 53);84;2;1;../levels/LostLevels/lvl_e-00_fg.csv
236;LostLevels;lvl_a-02;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_a-02_fg.csv
237;LostLevels;lvl_e-06;109;23;(109, 23);1;136;4;../levels/LostLevels/lvl_e-06_fg.csv
238;LostLevels;lvl_end-granny;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_end-granny_fg.csv
239;LostLevels;lvl_g-02;114;23;(114, 23);2;136;4;../levels/LostLevels/lvl_g-02_fg.csv
240;LostLevels;lvl_f-06;94;23;(94, 23);3;136;4;../levels/LostLevels/lvl_f-06_fg.csv
241;LostLevels;lvl_h-03b;100;23;(100, 23);2;136;4;../levels/LostLevels/lvl_h-03b_fg.csv
242;LostLevels;lvl_h-00b;140;23;(140, 23);1;136;3;../levels/LostLevels/lvl_h-00b_fg.csv
243;LostLevels;lvl_j-17;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_j-17_fg.csv
244;LostLevels;lvl_h-00;75;23;(75, 23);2;136;1;../levels/LostLevels/lvl_h-00_fg.csv
245;LostLevels;lvl_f-08;66;23;(66, 23);1;136;2;../levels/LostLevels/lvl_f-08_fg.csv
246;LostLevels;lvl_i-02;91;23;(91, 23);2;136;4;../levels/LostLevels/lvl_i-02_fg.csv
247;LostLevels;lvl_a-03;57;23;(57, 23);2;136;1;../levels/LostLevels/lvl_a-03_fg.csv
248;LostLevels;lvl_h-05;103;25;(103, 25);3;14;1;../levels/LostLevels/lvl_h-05_fg.csv
249;LostLevels;lvl_c-02;122;23;(122, 23);2;136;2;../levels/LostLevels/lvl_c-02_fg.csv
250;LostLevels;lvl_h-01;40;80;(40, 80);84;1;2;../levels/LostLevels/lvl_h-01_fg.csv
251;LostLevels;lvl_d-05;126;23;(126, 23);1;136;3;../levels/LostLevels/lvl_d-05_fg.csv
252;LostLevels;lvl_e-00y;40;123;(40, 123);84;1;1;../levels/LostLevels/lvl_e-00y_fg.csv
253;LostLevels;lvl_c-03;40;49;(40, 49);84;1;3;../levels/LostLevels/lvl_c-03_fg.csv
254;LostLevels;lvl_c-00b;123;23;(123, 23);2;136;2;../levels/LostLevels/lvl_c-00b_fg.csv
255;LostLevels;lvl_e-05c;60;23;(60, 23);2;136;5;../levels/LostLevels/lvl_e-05c_fg.csv
256;LostLevels;lvl_h-06;120;23;(120, 23);1;136;5;../levels/LostLevels/lvl_h-06_fg.csv
257;LostLevels;lvl_h-10;362;158;(362, 158);1;1;1;../levels/LostLevels/lvl_h-10_fg.csv
258;LostLevels;lvl_b-00;55;23;(55, 23);4;136;4;../levels/LostLevels/lvl_b-00_fg.csv
259;LostLevels;lvl_c-alt-01;40;39;(40, 39);84;2;3;../levels/LostLevels/lvl_c-alt-01_fg.csv
260;LostLevels;lvl_j-04;105;23;(105, 23);1;136;2;../levels/LostLevels/lvl_j-04_fg.csv
261;LostLevels;lvl_j-02;192;23;(192, 23);1;136;1;../levels/LostLevels/lvl_j-02_fg.csv
262;LostLevels;lvl_f-09;43;36;(43, 36);6;3;1;../levels/LostLevels/lvl_f-09_fg.csv
263;LostLevels;lvl_f-03;58;24;(58, 24);4;18;3;../levels/LostLevels/lvl_f-03_fg.csv
264;LostLevels;lvl_b-02;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_b-02_fg.csv
265;LostLevels;lvl_j-16;768;340;(768, 340);1;1;1;../levels/LostLevels/lvl_j-16_fg.csv
266;LostLevels;lvl_f-door;125;23;(125, 23);1;136;1;../levels/LostLevels/lvl_f-door_fg.csv
267;LostLevels;lvl_j-10;218;23;(218, 23);1;136;2;../levels/LostLevels/lvl_j-10_fg.csv
268;LostLevels;lvl_j-19;40;578;(40, 578);84;1;1;../levels/LostLevels/lvl_j-19_fg.csv
269;LostLevels;lvl_j-12;322;23;(322, 23);1;136;1;../levels/LostLevels/lvl_j-12_fg.csv
270;LostLevels;lvl_j-00b;201;23;(201, 23);1;136;1;../levels/LostLevels/lvl_j-00b_fg.csv
271;LostLevels;lvl_e-05b-dummy;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_e-05b-dummy_fg.csv
272;LostLevels;lvl_a-01;54;23;(54, 23);4;136;10;../levels/LostLevels/lvl_a-01_fg.csv
273;LostLevels;lvl_f-02;77;27;(77, 27);4;11;1;../levels/LostLevels/lvl_f-02_fg.csv
274;LostLevels;lvl_f-07;133;23;(133, 23);2;136;1;../levels/LostLevels/lvl_f-07_fg.csv
275;LostLevels;lvl_e-05;49;23;(49, 23);3;136;3;../levels/LostLevels/lvl_e-05_fg.csv
276;LostLevels;lvl_e-00yb;40;98;(40, 98);84;1;2;../levels/LostLevels/lvl_e-00yb_fg.csv
277;LostLevels;lvl_c-00;101;64;(101, 64);3;2;1;../levels/LostLevels/lvl_c-00_fg.csv
278;LostLevels;lvl_a-00;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_a-00_fg.csv
279;LostLevels;lvl_f-04;78;23;(78, 23);5;136;5;../levels/LostLevels/lvl_f-04_fg.csv
280;LostLevels;lvl_e-05b;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_e-05b_fg.csv
281;LostLevels;lvl_e-03;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_e-03_fg.csv
282;LostLevels;lvl_intro-01-future;138;77;(138, 77);2;2;1;../levels/LostLevels/lvl_intro-01-future_fg.csv
283;LostLevels;lvl_e-02;93;23;(93, 23);3;136;2;../levels/LostLevels/lvl_e-02_fg.csv
284;LostLevels;lvl_e-08;178;23;(178, 23);1;136;1;../levels/LostLevels/lvl_e-08_fg.csv
285;LostLevels;lvl_h-03;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_h-03_fg.csv
286;LostLevels;lvl_i-04;76;23;(76, 23);2;136;7;../levels/LostLevels/lvl_i-04_fg.csv
287;LostLevels;lvl_j-13;334;23;(334, 23);1;136;1;../levels/LostLevels/lvl_j-13_fg.csv
288;LostLevels;lvl_e-07;94;23;(94, 23);3;136;4;../levels/LostLevels/lvl_e-07_fg.csv
289;LostLevels;lvl_d-04;170;23;(170, 23);2;136;1;../levels/LostLevels/lvl_d-04_fg.csv
290;LostLevels;lvl_b-05;77;23;(77, 23);4;136;4;../levels/LostLevels/lvl_b-05_fg.csv
291;LostLevels;lvl_b-06;94;61;(94, 61);3;2;1;../levels/LostLevels/lvl_b-06_fg.csv
292;LostLevels;lvl_i-05;119;23;(119, 23);2;136;1;../levels/LostLevels/lvl_i-05_fg.csv
293;LostLevels;lvl_e-01;40;76;(40, 76);84;1;1;../levels/LostLevels/lvl_e-01_fg.csv
294;LostLevels;lvl_e-03-dummy;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_e-03-dummy_fg.csv
295;LostLevels;lvl_g-00;40;59;(40, 59);84;2;1;../levels/LostLevels/lvl_g-00_fg.csv
296;LostLevels;lvl_g-05;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_g-05_fg.csv
297;LostLevels;lvl_h-08;80;32;(80, 32);6;4;1;../levels/LostLevels/lvl_h-08_fg.csv
298;LostLevels;lvl_b-07;40;26;(40, 26);84;7;2;../levels/LostLevels/lvl_b-07_fg.csv
299;LostLevels;lvl_intro-03-space;161;23;(161, 23);1;136;1;../levels/LostLevels/lvl_intro-03-space_fg.csv
300;LostLevels;lvl_intro-02-launch;40;134;(40, 134);84;1;1;../levels/LostLevels/lvl_intro-02-launch_fg.csv
301;LostLevels;lvl_j-01;156;23;(156, 23);1;136;1;../levels/LostLevels/lvl_j-01_fg.csv
302;LostLevels;lvl_j-06;194;23;(194, 23);1;136;1;../levels/LostLevels/lvl_j-06_fg.csv
303;LostLevels;lvl_h-02;157;23;(157, 23);1;136;2;../levels/LostLevels/lvl_h-02_fg.csv
304;LostLevels;lvl_a-05;88;23;(88, 23);2;136;3;../levels/LostLevels/lvl_a-05_fg.csv
305;LostLevels;lvl_j-18;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_j-18_fg.csv
306;LostLevels;lvl_j-05;157;23;(157, 23);1;136;2;../levels/LostLevels/lvl_j-05_fg.csv
307;LostLevels;lvl_c-alt-00;228;23;(228, 23);1;136;1;../levels/LostLevels/lvl_c-alt-00_fg.csv
308;LostLevels;lvl_j-11;181;23;(181, 23);1;136;2;../levels/LostLevels/lvl_j-11_fg.csv
309;LostLevels;lvl_e-04;100;23;(100, 23);2;136;4;../levels/LostLevels/lvl_e-04_fg.csv
310;LostLevels;lvl_c-01;65;23;(65, 23);4;136;5;../levels/LostLevels/lvl_c-01_fg.csv
311;LostLevels;lvl_f-05;78;48;(78, 48);5;5;1;../levels/LostLevels/lvl_f-05_fg.csv
312;LostLevels;lvl_g-04;109;23;(109, 23);1;136;4;../levels/LostLevels/lvl_g-04_fg.csv
313;LostLevels;lvl_h-07;239;23;(239, 23);1;136;1;../levels/LostLevels/lvl_h-07_fg.csv
314;LostLevels;lvl_b-01;55;23;(55, 23);4;136;4;../levels/LostLevels/lvl_b-01_fg.csv
315;LostLevels;lvl_e-00b;40;50;(40, 50);84;1;2;../levels/LostLevels/lvl_e-00b_fg.csv
316;LostLevels;lvl_g-03;74;23;(74, 23);3;136;7;../levels/LostLevels/lvl_g-03_fg.csv
317;LostLevels;lvl_j-08;218;23;(218, 23);1;136;2;../levels/LostLevels/lvl_j-08_fg.csv
318;LostLevels;lvl_g-01;40;39;(40, 39);84;2;3;../levels/LostLevels/lvl_g-01_fg.csv
319;LostLevels;lvl_d-01;191;23;(191, 23);1;136;3;../levels/LostLevels/lvl_d-01_fg.csv
320;LostLevels;lvl_i-00b;74;23;(74, 23);3;136;7;../levels/LostLevels/lvl_i-00b_fg.csv
321;LostLevels;lvl_i-00;173;23;(173, 23);1;136;1;../levels/LostLevels/lvl_i-00_fg.csv
322;LostLevels;lvl_h-04b;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_h-04b_fg.csv
323;LostLevels;lvl_h-06b;40;92;(40, 92);84;1;2;../levels/LostLevels/lvl_h-06b_fg.csv
324;LostLevels;lvl_j-14;182;23;(182, 23);1;136;1;../levels/LostLevels/lvl_j-14_fg.csv
325;LostLevels;lvl_end-golden;40;245;(40, 245);84;1;1;../levels/LostLevels/lvl_end-golden_fg.csv
326;LostLevels;lvl_e-00z;78;54;(78, 54);5;2;1;../levels/LostLevels/lvl_e-00z_fg.csv
327;LostLevels;lvl_a-04;99;23;(99, 23);1;136;3;../levels/LostLevels/lvl_a-04_fg.csv
328;LostLevels;lvl_f-00;122;24;(122, 24);2;18;1;../levels/LostLevels/lvl_f-00_fg.csv
329;LostLevels;lvl_j-03;202;23;(202, 23);1;136;1;../levels/LostLevels/lvl_j-03_fg.csv
330;LostLevels;lvl_j-14b;136;23;(136, 23);1;136;2;../levels/LostLevels/lvl_j-14b_fg.csv
331;LostLevels;lvl_b-04;40;23;(40, 23);84;136;169;../levels/LostLevels/lvl_b-04_fg.csv
332;LostLevels;lvl_g-06;287;164;(287, 164);2;1;1;../levels/LostLevels/lvl_g-06_fg.csv
333;LostLevels;lvl_d-02;40;118;(40, 118);84;1;1;../levels/LostLevels/lvl_d-02_fg.csv
334;LostLevels;lvl_h-04;40;129;(40, 129);84;1;5;../levels/LostLevels/lvl_h-04_fg.csv
335;5H-MirrorTemple;lvl_d-00;46;23;(46, 23);6;136;6;../levels/5H-MirrorTemple/lvl_d-00_fg.csv
336;5H-MirrorTemple;lvl_d-03;81;23;(81, 23);3;136;4;../levels/5H-MirrorTemple/lvl_d-03_fg.csv
337;5H-MirrorTemple;lvl_b-03;123;23;(123, 23);2;136;2;../levels/5H-MirrorTemple/lvl_b-03_fg.csv
338;5H-MirrorTemple;lvl_a-02;59;23;(59, 23);2;136;2;../levels/5H-MirrorTemple/lvl_a-02_fg.csv
339;5H-MirrorTemple;lvl_c-02;70;25;(70, 25);2;14;1;../levels/5H-MirrorTemple/lvl_c-02_fg.csv
340;5H-MirrorTemple;lvl_d-05;104;23;(104, 23);2;136;1;../levels/5H-MirrorTemple/lvl_d-05_fg.csv
341;5H-MirrorTemple;lvl_c-03;82;23;(82, 23);3;136;6;../levels/5H-MirrorTemple/lvl_c-03_fg.csv
342;5H-MirrorTemple;lvl_b-08;72;23;(72, 23);1;136;4;../levels/5H-MirrorTemple/lvl_b-08_fg.csv
343;5H-MirrorTemple;lvl_b-00;40;23;(40, 23);84;136;169;../levels/5H-MirrorTemple/lvl_b-00_fg.csv
344;5H-MirrorTemple;lvl_b-02;40;46;(40, 46);84;5;7;../levels/5H-MirrorTemple/lvl_b-02_fg.csv
345;5H-MirrorTemple;lvl_a-01;142;23;(142, 23);1;136;1;../levels/5H-MirrorTemple/lvl_a-01_fg.csv
346;5H-MirrorTemple;lvl_c-00;40;129;(40, 129);84;1;5;../levels/5H-MirrorTemple/lvl_c-00_fg.csv
347;5H-MirrorTemple;lvl_a-00;40;23;(40, 23);84;136;169;../levels/5H-MirrorTemple/lvl_a-00_fg.csv
348;5H-MirrorTemple;lvl_c-04;82;23;(82, 23);3;136;6;../levels/5H-MirrorTemple/lvl_c-04_fg.csv
349;5H-MirrorTemple;lvl_d-04;52;23;(52, 23);4;136;4;../levels/5H-MirrorTemple/lvl_d-04_fg.csv
350;5H-MirrorTemple;lvl_start;129;28;(129, 28);1;8;1;../levels/5H-MirrorTemple/lvl_start_fg.csv
351;5H-MirrorTemple;lvl_b-05;40;40;(40, 40);84;7;5;../levels/5H-MirrorTemple/lvl_b-05_fg.csv
352;5H-MirrorTemple;lvl_b-06;90;23;(90, 23);4;136;2;../levels/5H-MirrorTemple/lvl_b-06_fg.csv
353;5H-MirrorTemple;lvl_b-07;40;46;(40, 46);84;5;7;../levels/5H-MirrorTemple/lvl_b-07_fg.csv
354;5H-MirrorTemple;lvl_c-01;40;23;(40, 23);84;136;169;../levels/5H-MirrorTemple/lvl_c-01_fg.csv
355;5H-MirrorTemple;lvl_b-01;101;23;(101, 23);3;136;2;../levels/5H-MirrorTemple/lvl_b-01_fg.csv
356;5H-MirrorTemple;lvl_d-01;87;23;(87, 23);2;136;2;../levels/5H-MirrorTemple/lvl_d-01_fg.csv
357;5H-MirrorTemple;lvl_b-04;79;23;(79, 23);2;136;4;../levels/5H-MirrorTemple/lvl_b-04_fg.csv
358;5H-MirrorTemple;lvl_d-02;100;23;(100, 23);2;136;4;../levels/5H-MirrorTemple/lvl_d-02_fg.csv
359;5H-MirrorTemple;lvl_b-09;40;129;(40, 129);84;1;5;../levels/5H-MirrorTemple/lvl_b-09_fg.csv
360;4-GoldenRidge;lvl_d-10;170;116;(170, 116);2;1;1;../levels/4-GoldenRidge/lvl_d-10_fg.csv
361;4-GoldenRidge;lvl_d-00;54;23;(54, 23);4;136;10;../levels/4-GoldenRidge/lvl_d-00_fg.csv
362;4-GoldenRidge;lvl_d-03;41;23;(41, 23);1;136;3;../levels/4-GoldenRidge/lvl_d-03_fg.csv
363;4-GoldenRidge;lvl_a-09;42;35;(42, 35);4;6;1;../levels/4-GoldenRidge/lvl_a-09_fg.csv
364;4-GoldenRidge;lvl_b-03;40;24;(40, 24);84;18;4;../levels/4-GoldenRidge/lvl_b-03_fg.csv
365;4-GoldenRidge;lvl_a-02;61;24;(61, 24);5;18;1;../levels/4-GoldenRidge/lvl_a-02_fg.csv
366;4-GoldenRidge;lvl_c-05;86;27;(86, 27);2;11;1;../levels/4-GoldenRidge/lvl_c-05_fg.csv
367;4-GoldenRidge;lvl_a-01x;115;30;(115, 30);2;3;1;../levels/4-GoldenRidge/lvl_a-01x_fg.csv
368;4-GoldenRidge;lvl_a-05x;40;23;(40, 23);84;136;169;../levels/4-GoldenRidge/lvl_a-05x_fg.csv
369;4-GoldenRidge;lvl_a-03;74;23;(74, 23);3;136;7;../levels/4-GoldenRidge/lvl_a-03_fg.csv
370;4-GoldenRidge;lvl_c-02;48;23;(48, 23);5;136;7;../levels/4-GoldenRidge/lvl_c-02_fg.csv
371;4-GoldenRidge;lvl_d-05;46;23;(46, 23);6;136;6;../levels/4-GoldenRidge/lvl_d-05_fg.csv
372;4-GoldenRidge;lvl_b-08;98;27;(98, 27);4;11;1;../levels/4-GoldenRidge/lvl_b-08_fg.csv
373;4-GoldenRidge;lvl_b-secb;49;23;(49, 23);3;136;3;../levels/4-GoldenRidge/lvl_b-secb_fg.csv
374;4-GoldenRidge;lvl_a-11;98;26;(98, 26);4;7;1;../levels/4-GoldenRidge/lvl_a-11_fg.csv
375;4-GoldenRidge;lvl_c-09;100;23;(100, 23);2;136;4;../levels/4-GoldenRidge/lvl_c-09_fg.csv
376;4-GoldenRidge;lvl_b-00;40;60;(40, 60);84;3;1;../levels/4-GoldenRidge/lvl_b-00_fg.csv
377;4-GoldenRidge;lvl_a-08;51;38;(51, 38);5;6;1;../levels/4-GoldenRidge/lvl_a-08_fg.csv
378;4-GoldenRidge;lvl_b-sec;40;45;(40, 45);84;6;2;../levels/4-GoldenRidge/lvl_b-sec_fg.csv
379;4-GoldenRidge;lvl_b-02;47;37;(47, 37);4;3;1;../levels/4-GoldenRidge/lvl_b-02_fg.csv
380;4-GoldenRidge;lvl_a-01;46;38;(46, 38);6;6;1;../levels/4-GoldenRidge/lvl_a-01_fg.csv
381;4-GoldenRidge;lvl_c-00;98;30;(98, 30);4;3;1;../levels/4-GoldenRidge/lvl_c-00_fg.csv
382;4-GoldenRidge;lvl_a-00;59;38;(59, 38);2;6;1;../levels/4-GoldenRidge/lvl_a-00_fg.csv
383;4-GoldenRidge;lvl_c-04;66;23;(66, 23);1;136;2;../levels/4-GoldenRidge/lvl_c-04_fg.csv
384;4-GoldenRidge;lvl_d-04;102;23;(102, 23);1;136;2;../levels/4-GoldenRidge/lvl_d-04_fg.csv
385;4-GoldenRidge;lvl_b-05;110;23;(110, 23);1;136;1;../levels/4-GoldenRidge/lvl_b-05_fg.csv
386;4-GoldenRidge;lvl_b-06;40;51;(40, 51);84;2;4;../levels/4-GoldenRidge/lvl_b-06_fg.csv
387;4-GoldenRidge;lvl_a-10;40;23;(40, 23);84;136;169;../levels/4-GoldenRidge/lvl_a-10_fg.csv
388;4-GoldenRidge;lvl_b-07;50;25;(50, 25);5;14;1;../levels/4-GoldenRidge/lvl_b-07_fg.csv
389;4-GoldenRidge;lvl_d-07;69;23;(69, 23);2;136;3;../levels/4-GoldenRidge/lvl_d-07_fg.csv
390;4-GoldenRidge;lvl_c-06b;40;23;(40, 23);84;136;169;../levels/4-GoldenRidge/lvl_c-06b_fg.csv
391;4-GoldenRidge;lvl_a-06;45;23;(45, 23);4;136;2;../levels/4-GoldenRidge/lvl_a-06_fg.csv
392;4-GoldenRidge;lvl_a-05;48;23;(48, 23);5;136;7;../levels/4-GoldenRidge/lvl_a-05_fg.csv
393;4-GoldenRidge;lvl_c-07;65;28;(65, 28);4;8;1;../levels/4-GoldenRidge/lvl_c-07_fg.csv
394;4-GoldenRidge;lvl_c-01;40;23;(40, 23);84;136;169;../levels/4-GoldenRidge/lvl_c-01_fg.csv
395;4-GoldenRidge;lvl_a-07;40;23;(40, 23);84;136;169;../levels/4-GoldenRidge/lvl_a-07_fg.csv
396;4-GoldenRidge;lvl_d-00b;64;45;(64, 45);4;6;1;../levels/4-GoldenRidge/lvl_d-00b_fg.csv
397;4-GoldenRidge;lvl_b-01;63;24;(63, 24);5;18;1;../levels/4-GoldenRidge/lvl_b-01_fg.csv
398;4-GoldenRidge;lvl_d-01;40;23;(40, 23);84;136;169;../levels/4-GoldenRidge/lvl_d-01_fg.csv
399;4-GoldenRidge;lvl_d-08;46;43;(46, 43);6;4;1;../levels/4-GoldenRidge/lvl_d-08_fg.csv
400;4-GoldenRidge;lvl_a-04;60;23;(60, 23);2;136;5;../levels/4-GoldenRidge/lvl_a-04_fg.csv
401;4-GoldenRidge;lvl_c-08;40;75;(40, 75);84;1;1;../levels/4-GoldenRidge/lvl_c-08_fg.csv
402;4-GoldenRidge;lvl_c-10;40;64;(40, 64);84;2;2;../levels/4-GoldenRidge/lvl_c-10_fg.csv
403;4-GoldenRidge;lvl_d-09;176;23;(176, 23);1;136;1;../levels/4-GoldenRidge/lvl_d-09_fg.csv
404;4-GoldenRidge;lvl_b-04;50;28;(50, 28);5;8;1;../levels/4-GoldenRidge/lvl_b-04_fg.csv
405;4-GoldenRidge;lvl_d-02;47;24;(47, 24);4;18;1;../levels/4-GoldenRidge/lvl_d-02_fg.csv
406;4-GoldenRidge;lvl_d-06;71;23;(71, 23);2;136;4;../levels/4-GoldenRidge/lvl_d-06_fg.csv
407;4-GoldenRidge;lvl_c-06;40;79;(40, 79);84;3;2;../levels/4-GoldenRidge/lvl_c-06_fg.csv
408;4-GoldenRidge;lvl_b-08b;40;31;(40, 31);84;2;3;../levels/4-GoldenRidge/lvl_b-08b_fg.csv
409;3X-CelestialResort;lvl_02-dummy;40;23;(40, 23);84;136;169;../levels/3X-CelestialResort/lvl_02-dummy_fg.csv
410;3X-CelestialResort;lvl_01;43;23;(43, 23);6;136;3;../levels/3X-CelestialResort/lvl_01_fg.csv
411;3X-CelestialResort;lvl_02;197;23;(197, 23);1;136;1;../levels/3X-CelestialResort/lvl_02_fg.csv
412;3X-CelestialResort;lvl_00;43;23;(43, 23);6;136;3;../levels/3X-CelestialResort/lvl_00_fg.csv
413;2X-OldSite;lvl_01;52;23;(52, 23);4;136;4;../levels/2X-OldSite/lvl_01_fg.csv
414;2X-OldSite;lvl_02;249;23;(249, 23);1;136;1;../levels/2X-OldSite/lvl_02_fg.csv
415;2X-OldSite;lvl_00;40;23;(40, 23);84;136;169;../levels/2X-OldSite/lvl_00_fg.csv
416;7-Summit;lvl_f-01;40;30;(40, 30);84;3;2;../levels/7-Summit/lvl_f-01_fg.csv
417;7-Summit;lvl_d-10;53;23;(53, 23);1;136;4;../levels/7-Summit/lvl_d-10_fg.csv
418;7-Summit;lvl_d-00;40;23;(40, 23);84;136;169;../levels/7-Summit/lvl_d-00_fg.csv
419;7-Summit;lvl_d-03;132;23;(132, 23);1;136;2;../levels/7-Summit/lvl_d-03_fg.csv
420;7-Summit;lvl_b-02d;40;28;(40, 28);84;8;5;../levels/7-Summit/lvl_b-02d_fg.csv
421;7-Summit;lvl_credits-prologue;145;23;(145, 23);3;136;1;../levels/7-Summit/lvl_credits-prologue_fg.csv
422;7-Summit;lvl_b-03;40;31;(40, 31);84;2;3;../levels/7-Summit/lvl_b-03_fg.csv
423;7-Summit;lvl_b-02b;40;61;(40, 61);84;2;2;../levels/7-Summit/lvl_b-02b_fg.csv
424;7-Summit;lvl_e-00;68;23;(68, 23);2;136;6;../levels/7-Summit/lvl_e-00_fg.csv
425;7-Summit;lvl_a-02;45;33;(45, 33);4;7;1;../levels/7-Summit/lvl_a-02_fg.csv
426;7-Summit;lvl_e-06;128;27;(128, 27);1;11;1;../levels/7-Summit/lvl_e-06_fg.csv
427;7-Summit;lvl_g-02;63;119;(63, 119);5;1;1;../levels/7-Summit/lvl_g-02_fg.csv
428;7-Summit;lvl_f-06;43;33;(43, 33);6;7;1;../levels/7-Summit/lvl_f-06_fg.csv
429;7-Summit;lvl_c-05;40;48;(40, 48);84;5;2;../levels/7-Summit/lvl_c-05_fg.csv
430;7-Summit;lvl_e-13;40;176;(40, 176);84;1;1;../levels/7-Summit/lvl_e-13_fg.csv
431;7-Summit;lvl_f-08;65;23;(65, 23);4;136;5;../levels/7-Summit/lvl_f-08_fg.csv
432;7-Summit;lvl_e-09;40;23;(40, 23);84;136;169;../levels/7-Summit/lvl_e-09_fg.csv
433;7-Summit;lvl_a-03;83;23;(83, 23);1;136;6;../levels/7-Summit/lvl_a-03_fg.csv
434;7-Summit;lvl_c-02;40;26;(40, 26);84;7;2;../levels/7-Summit/lvl_c-02_fg.csv
435;7-Summit;lvl_d-05;107;25;(107, 25);2;14;1;../levels/7-Summit/lvl_d-05_fg.csv
436;7-Summit;lvl_c-03;123;26;(123, 26);2;7;1;../levels/7-Summit/lvl_c-03_fg.csv
437;7-Summit;lvl_b-08;100;25;(100, 25);2;14;1;../levels/7-Summit/lvl_b-08_fg.csv
438;7-Summit;lvl_credits-walking;114;38;(114, 38);2;6;1;../levels/7-Summit/lvl_credits-walking_fg.csv
439;7-Summit;lvl_e-01b;67;23;(67, 23);1;136;4;../levels/7-Summit/lvl_e-01b_fg.csv
440;7-Summit;lvl_g-00b;80;407;(80, 407);6;3;1;../levels/7-Summit/lvl_g-00b_fg.csv
441;7-Summit;lvl_c-09;40;127;(40, 127);84;1;1;../levels/7-Summit/lvl_c-09_fg.csv
442;7-Summit;lvl_d-05x;40;25;(40, 25);84;14;8;../levels/7-Summit/lvl_d-05x_fg.csv
443;7-Summit;lvl_b-00;40;30;(40, 30);84;3;2;../levels/7-Summit/lvl_b-00_fg.csv
444;7-Summit;lvl_credits-dashes;148;51;(148, 51);1;2;1;../levels/7-Summit/lvl_credits-dashes_fg.csv
445;7-Summit;lvl_f-09;83;23;(83, 23);1;136;6;../levels/7-Summit/lvl_f-09_fg.csv
446;7-Summit;lvl_f-03;74;23;(74, 23);3;136;7;../levels/7-Summit/lvl_f-03_fg.csv
447;7-Summit;lvl_f-10b;84;23;(84, 23);1;136;3;../levels/7-Summit/lvl_f-10b_fg.csv
448;7-Summit;lvl_b-02;40;55;(40, 55);84;1;2;../levels/7-Summit/lvl_b-02_fg.csv
449;7-Summit;lvl_f-10;46;23;(46, 23);6;136;6;../levels/7-Summit/lvl_f-10_fg.csv
450;7-Summit;lvl_d-01c;40;23;(40, 23);84;136;169;../levels/7-Summit/lvl_d-01c_fg.csv
451;7-Summit;lvl_f-11;40;237;(40, 237);84;1;1;../levels/7-Summit/lvl_f-11_fg.csv
452;7-Summit;lvl_d-05b;40;23;(40, 23);84;136;169;../levels/7-Summit/lvl_d-05b_fg.csv
453;7-Summit;lvl_a-01;40;33;(40, 33);84;7;1;../levels/7-Summit/lvl_a-01_fg.csv
454;7-Summit;lvl_f-02;40;23;(40, 23);84;136;169;../levels/7-Summit/lvl_f-02_fg.csv
455;7-Summit;lvl_f-07;40;28;(40, 28);84;8;5;../levels/7-Summit/lvl_f-07_fg.csv
456;7-Summit;lvl_e-05;119;25;(119, 25);2;14;1;../levels/7-Summit/lvl_e-05_fg.csv
457;7-Summit;lvl_f-08b;48;23;(48, 23);5;136;7;../levels/7-Summit/lvl_f-08b_fg.csv
458;7-Summit;lvl_f-08c;98;23;(98, 23);4;136;2;../levels/7-Summit/lvl_f-08c_fg.csv
459;7-Summit;lvl_c-00;107;23;(107, 23);2;136;1;../levels/7-Summit/lvl_c-00_fg.csv
460;7-Summit;lvl_a-00;86;23;(86, 23);2;136;6;../levels/7-Summit/lvl_a-00_fg.csv
461;7-Summit;lvl_f-04;72;23;(72, 23);1;136;4;../levels/7-Summit/lvl_f-04_fg.csv
462;7-Summit;lvl_c-07b;40;54;(40, 54);84;2;1;../levels/7-Summit/lvl_c-07b_fg.csv
463;7-Summit;lvl_c-04;81;27;(81, 27);3;11;1;../levels/7-Summit/lvl_c-04_fg.csv
464;7-Summit;lvl_credits-tree;90;39;(90, 39);4;2;1;../levels/7-Summit/lvl_credits-tree_fg.csv
465;7-Summit;lvl_d-03b;140;23;(140, 23);1;136;3;../levels/7-Summit/lvl_d-03b_fg.csv
466;7-Summit;lvl_f-08d;48;23;(48, 23);5;136;7;../levels/7-Summit/lvl_f-08d_fg.csv
467;7-Summit;lvl_f-02b;152;23;(152, 23);1;136;1;../levels/7-Summit/lvl_f-02b_fg.csv
468;7-Summit;lvl_e-03;40;46;(40, 46);84;5;7;../levels/7-Summit/lvl_e-03_fg.csv
